Type,Timekeeper Nickname 1,Client Nickname 1,Activity Nickname 1,Reference Nickname 1,Extra,Date
Expense,SamS,Dennis,Landscape Supplies,DENNI-Project01,Slip: e778,7/14/2013
Expense,ShawnR,Dighton,Snacks,DIGHT-Project02,Slip: e779,7/14/2013
Expense,TomH,Douglas,Consultants,EEE-Project,Slip: e780,7/14/2013
Expense,CoreyM,Dover,Hand Tools,III-Project,Slip: e781,7/15/2013
Expense,ElvisP,Dracut,Power Tools,OOO-Project,Slip: e782,7/15/2013
Expense,SamS,Dudley,Cleanup Supplies,UUU-Project,Slip: e783,7/15/2013
Expense,ShawnR,Dunstable,Pavers,,Slip: e784,7/15/2013
Expense,TomH,Duxbury,Wood,AAA-Project,Slip: e785,7/16/2013
Expense,CoreyM,East Bridgewater,First aid,EASTB-Project01,Slip: e786,7/16/2013
Expense,ElvisP,East Brookfield,Plants,EASTB-Project02,Slip: e787,7/16/2013
Expense,SamS,East Longmeadow,Landscape Supplies,EEE-Project,Slip: e788,7/16/2013
Expense,ShawnR,Eastham,Snacks,III-Project,Slip: e789,7/17/2013
Expense,TomH,Easthampton,Consultants,OOO-Project,Slip: e790,7/17/2013
Expense,CoreyM,Easton,Hand Tools,UUU-Project,Slip: e791,7/17/2013
Expense,ElvisP,Edgartown,Power Tools,,Slip: e792,7/17/2013
Expense,SamS,Egremont,Cleanup Supplies,AAA-Project,Slip: e793,7/18/2013
Expense,ShawnR,Erving,Pavers,EEE-Project,Slip: e794,7/18/2013
Expense,TomH,Essex,Wood,ESSEX-Project01,Slip: e795,7/18/2013
Expense,CoreyM,Everett,First aid,EVERE-Project02,Slip: e796,7/18/2013
Expense,ElvisP,Fairhaven,Plants,III-Project,Slip: e797,7/19/2013
Expense,SamS,Fall River,Landscape Supplies,OOO-Project,Slip: e798,7/19/2013
Expense,ShawnR,Falmouth,Snacks,UUU-Project,Slip: e799,7/19/2013
Expense,TomH,Fitchburg,Consultants,,Slip: e800,7/19/2013
Expense,CoreyM,Florida,Hand Tools,AAA-Project,Slip: e801,7/20/2013
Expense,ElvisP,Foxborough,Power Tools,EEE-Project,Slip: e802,7/20/2013
Expense,SamS,Framingham,Cleanup Supplies,FRAMI-Project01,Slip: e803,7/20/2013
Expense,ShawnR,Franklin,Pavers,FRANK-Project02,Slip: e804,7/20/2013
Expense,TomH,Freetown,Wood,III-Project,Slip: e805,7/21/2013
Expense,CoreyM,Gardner,First aid,OOO-Project,Slip: e806,7/21/2013
Expense,ElvisP,Georgetown,Plants,UUU-Project,Slip: e807,7/21/2013
Expense,SamS,Gill,Landscape Supplies,,Slip: e808,7/21/2013
Expense,ShawnR,Gloucester,Snacks,AAA-Project,Slip: e809,7/22/2013
Expense,TomH,Goshen,Consultants,EEE-Project,Slip: e810,7/22/2013
Expense,CoreyM,Gosnold,Hand Tools,GOSNO-Project01,Slip: e811,7/22/2013
Expense,ElvisP,Grafton,Power Tools,GRAFT-Project02,Slip: e812,7/22/2013
Expense,SamS,Granby,Cleanup Supplies,III-Project,Slip: e813,7/23/2013
Expense,ShawnR,Granville,Pavers,OOO-Project,Slip: e814,7/23/2013
Expense,TomH,Great Barrington,Wood,UUU-Project,Slip: e815,7/23/2013
Expense,CoreyM,Greenfield,First aid,,Slip: e816,7/23/2013
Expense,ElvisP,Groton,Plants,AAA-Project,Slip: e817,7/24/2013
Expense,SamS,Groveland,Landscape Supplies,EEE-Project,Slip: e818,7/24/2013
Expense,ShawnR,Hadley,Snacks,HADLE-Project01,Slip: e819,7/24/2013
Expense,TomH,Halifax,Consultants,HALIF-Project02,Slip: e820,7/24/2013
Expense,CoreyM,Hamilton,Hand Tools,III-Project,Slip: e821,7/25/2013
Expense,ElvisP,Hampden,Power Tools,OOO-Project,Slip: e822,7/25/2013
Expense,SamS,Hancock,Cleanup Supplies,UUU-Project,Slip: e823,7/25/2013
Expense,ShawnR,Hanover,Pavers,,Slip: e824,7/25/2013
Expense,TomH,Hanson,Wood,AAA-Project,Slip: e825,7/26/2013
Expense,CoreyM,Hardwick,First aid,EEE-Project,Slip: e826,7/26/2013
Expense,ElvisP,Harvard,Plants,HARVA-Project01,Slip: e827,7/26/2013
Expense,SamS,Harwich,Landscape Supplies,HARWI-Project02,Slip: e828,7/26/2013
Expense,ShawnR,Hatfield,Snacks,III-Project,Slip: e829,7/27/2013
Expense,TomH,Haverhill,Consultants,OOO-Project,Slip: e830,7/27/2013
Expense,CoreyM,Hawley,Hand Tools,UUU-Project,Slip: e831,7/27/2013
Expense,ElvisP,Heath,Power Tools,,Slip: e832,7/27/2013
Expense,SamS,Hingham,Cleanup Supplies,AAA-Project,Slip: e833,7/28/2013
Expense,ShawnR,Hinsdale,Pavers,EEE-Project,Slip: e834,7/28/2013
Expense,TomH,Holbrook,Wood,HOLBR-Project01,Slip: e835,7/28/2013
Expense,CoreyM,Holden,First aid,HOLDE-Project02,Slip: e836,7/28/2013
Expense,ElvisP,Holland,Plants,III-Project,Slip: e837,7/29/2013
Expense,SamS,Holliston,Landscape Supplies,OOO-Project,Slip: e838,7/29/2013
Expense,ShawnR,Holyoke,Snacks,UUU-Project,Slip: e839,7/29/2013
Expense,TomH,Hopedale,Consultants,,Slip: e840,7/29/2013
Expense,CoreyM,Hopkinton,Hand Tools,AAA-Project,Slip: e841,7/30/2013
Expense,ElvisP,Hubbardston,Power Tools,EEE-Project,Slip: e842,7/30/2013
Expense,SamS,Hudson,Cleanup Supplies,HUDSO-Project01,Slip: e843,7/30/2013
Expense,ShawnR,Hull,Pavers,HULL-Project02,Slip: e844,7/30/2013
Expense,TomH,Huntington,Wood,III-Project,Slip: e845,7/31/2013
Expense,CoreyM,Ipswich,First aid,OOO-Project,Slip: e846,7/31/2013
Expense,ElvisP,Kingston,Plants,UUU-Project,Slip: e847,7/31/2013
Expense,SamS,Lakeville,Landscape Supplies,,Slip: e848,7/31/2013
Expense,ShawnR,Lancaster,Snacks,AAA-Project,Slip: e849,8/1/2013
Expense,TomH,Lanesborough,Consultants,EEE-Project,Slip: e850,8/1/2013
Expense,CoreyM,Lawrence,Hand Tools,III-Project,Slip: e851,8/1/2013
Expense,ElvisP,Lee,Power Tools,LEE-Project01,Slip: e852,8/1/2013
Expense,SamS,Leicester,Cleanup Supplies,LEICE-Project02,Slip: e853,8/2/2013
Expense,ShawnR,Lenox,Pavers,OOO-Project,Slip: e854,8/2/2013
Expense,TomH,Leominster,Wood,UUU-Project,Slip: e855,8/2/2013
Expense,CoreyM,Leverett,First aid,,Slip: e856,8/2/2013
Expense,ElvisP,Lexington,Plants,AAA-Project,Slip: e857,8/3/2013
Expense,SamS,Leyden,Landscape Supplies,EEE-Project,Slip: e858,8/3/2013
Expense,ShawnR,Lincoln,Snacks,III-Project,Slip: e859,8/3/2013
Expense,TomH,Littleton,Consultants,LITTL-Project01,Slip: e860,8/3/2013
Expense,CoreyM,Longmeadow,Hand Tools,LONGM-Project02,Slip: e861,8/4/2013
Expense,ElvisP,Lowell,Power Tools,OOO-Project,Slip: e862,8/4/2013
Expense,SamS,Ludlow,Cleanup Supplies,UUU-Project,Slip: e863,8/4/2013
Expense,ShawnR,Lunenburg,Pavers,,Slip: e864,8/4/2013
Expense,TomH,Lynn,Wood,AAA-Project,Slip: e865,8/5/2013
Expense,CoreyM,Lynnfield,First aid,EEE-Project,Slip: e866,8/5/2013
Expense,ElvisP,Malden,Plants,III-Project,Slip: e867,8/5/2013
Expense,SamS,Manchester-by-the-Sea,Landscape Supplies,MANCH-Project01,Slip: e868,8/5/2013
Expense,ShawnR,Mansfield,Snacks,MANSF-Project02,Slip: e869,8/6/2013
Expense,TomH,Marblehead,Consultants,OOO-Project,Slip: e870,8/6/2013
Expense,CoreyM,Marion,Hand Tools,UUU-Project,Slip: e871,8/6/2013
Expense,ElvisP,Marlborough,Power Tools,,Slip: e872,8/6/2013
Expense,SamS,Marshfield,Cleanup Supplies,AAA-Project,Slip: e873,8/7/2013
Expense,ShawnR,Mashpee,Pavers,EEE-Project,Slip: e874,8/7/2013
Expense,TomH,Mattapoisett,Wood,III-Project,Slip: e875,8/7/2013
Expense,CoreyM,Maynard,First aid,MAYNA-Project01,Slip: e876,8/7/2013
Expense,ElvisP,Medfield,Plants,MEDFI-Project02,Slip: e877,8/8/2013
Expense,SamS,Medford,Landscape Supplies,OOO-Project,Slip: e878,8/8/2013
Expense,ShawnR,Medway,Snacks,UUU-Project,Slip: e879,8/8/2013
Expense,TomH,Melrose,Consultants,,Slip: e880,8/8/2013
Expense,CoreyM,Mendon,Hand Tools,AAA-Project,Slip: e881,8/9/2013
Expense,ElvisP,Merrimac,Power Tools,EEE-Project,Slip: e882,8/9/2013
Expense,SamS,Methuen,Cleanup Supplies,III-Project,Slip: e883,8/9/2013
Expense,ShawnR,Middleborough,Pavers,MIDDL-Project01,Slip: e884,8/9/2013
Expense,TomH,Middlefield,Wood,MIDDL-Project02,Slip: e885,8/10/2013
Expense,CoreyM,Middleton,First aid,OOO-Project,Slip: e886,8/10/2013
Expense,ElvisP,Milford,Plants,UUU-Project,Slip: e887,8/10/2013
Expense,SamS,Millbury,Landscape Supplies,,Slip: e888,8/10/2013
Expense,ShawnR,Millis,Snacks,AAA-Project,Slip: e889,8/11/2013
Expense,TomH,Millville,Consultants,EEE-Project,Slip: e890,8/11/2013
Expense,CoreyM,Milton,Hand Tools,III-Project,Slip: e891,8/11/2013
Expense,ElvisP,Monroe,Power Tools,MONRO-Project01,Slip: e892,8/11/2013
Expense,SamS,Monson,Cleanup Supplies,MONSO-Project02,Slip: e893,8/12/2013
Expense,ShawnR,Montague,Pavers,OOO-Project,Slip: e894,8/12/2013
Expense,TomH,Monterey,Wood,UUU-Project,Slip: e895,8/12/2013
Expense,CoreyM,Montgomery,First aid,,Slip: e896,8/12/2013
Expense,ElvisP,Mount Washington,Plants,AAA-Project,Slip: e897,8/13/2013
Expense,SamS,Nahant,Landscape Supplies,EEE-Project,Slip: e898,8/13/2013
Expense,ShawnR,Nantucket,Snacks,III-Project,Slip: e899,8/13/2013
Expense,TomH,Natick,Consultants,NATIC-Project01,Slip: e900,8/13/2013
Expense,CoreyM,Needham,Hand Tools,NEEDH-Project02,Slip: e901,8/14/2013
Expense,ElvisP,New Ashford,Power Tools,OOO-Project,Slip: e902,8/14/2013
Expense,SamS,New Bedford,Cleanup Supplies,UUU-Project,Slip: e903,8/14/2013
Expense,ShawnR,New Braintree,Pavers,,Slip: e904,8/14/2013
Expense,TomH,New Marlborough,Wood,AAA-Project,Slip: e905,8/15/2013
Expense,CoreyM,New Salem,First aid,EEE-Project,Slip: e906,8/15/2013
Expense,ElvisP,Newbury,Plants,III-Project,Slip: e907,8/15/2013
Expense,SamS,Newburyport,Landscape Supplies,NEWBU-Project01,Slip: e908,8/15/2013
Expense,ShawnR,Newton,Snacks,NEWTO-Project02,Slip: e909,8/16/2013
Expense,TomH,Norfolk,Consultants,OOO-Project,Slip: e910,8/16/2013
Expense,CoreyM,North Adams,Hand Tools,UUU-Project,Slip: e911,8/16/2013
Expense,ElvisP,North Andover,Power Tools,,Slip: e912,8/16/2013
Expense,SamS,North Attleborough,Cleanup Supplies,AAA-Project,Slip: e913,8/17/2013
Expense,ShawnR,North Brookfield,Pavers,EEE-Project,Slip: e914,8/17/2013
Expense,TomH,North Reading,Wood,III-Project,Slip: e915,8/17/2013
Expense,CoreyM,Northampton,First aid,NORTH-Project01,Slip: e916,8/17/2013
Expense,ElvisP,Northborough,Plants,NORTH-Project02,Slip: e917,8/18/2013
Expense,SamS,Northbridge,Landscape Supplies,OOO-Project,Slip: e918,8/18/2013
Expense,ShawnR,Northfield,Snacks,UUU-Project,Slip: e919,8/18/2013
Expense,TomH,Norton,Consultants,,Slip: e920,8/18/2013
Expense,CoreyM,Norwell,Hand Tools,AAA-Project,Slip: e921,8/19/2013
Expense,ElvisP,Norwood,Power Tools,EEE-Project,Slip: e922,8/19/2013
Expense,SamS,Oak Bluffs,Cleanup Supplies,III-Project,Slip: e923,8/19/2013
Expense,ShawnR,Oakham,Pavers,OAKHA-Project01,Slip: e924,8/19/2013
Expense,TomH,Orange,Wood,ORANG-Project01,Slip: e925,8/20/2013
Expense,CoreyM,Orleans,First aid,ORLEA-Project02,Slip: e926,8/20/2013
Expense,ElvisP,Otis,Plants,UUU-Project,Slip: e927,8/20/2013
Expense,SamS,Oxford,Landscape Supplies,,Slip: e928,8/20/2013
Expense,ShawnR,Palmer,Snacks,AAA-Project,Slip: e929,8/21/2013
Expense,TomH,Paxton,Consultants,EEE-Project,Slip: e930,8/21/2013
Expense,CoreyM,Peabody,Hand Tools,III-Project,Slip: e931,8/21/2013
Expense,ElvisP,Pelham,Power Tools,OOO-Project,Slip: e932,8/21/2013
Expense,SamS,Pembroke,Cleanup Supplies,PEMBR-Project01,Slip: e933,8/22/2013
Expense,ShawnR,Pepperell,Pavers,PEPPE-Project02,Slip: e934,8/22/2013
Expense,TomH,Peru,Wood,UUU-Project,Slip: e935,8/22/2013
Expense,CoreyM,Petersham,First aid,,Slip: e936,8/22/2013
Expense,ElvisP,Phillipston,Plants,AAA-Project,Slip: e937,8/23/2013
Expense,SamS,Pittsfield,Landscape Supplies,EEE-Project,Slip: e938,8/23/2013
Expense,ShawnR,Plainfield,Snacks,III-Project,Slip: e939,8/23/2013
Expense,TomH,Plainville,Consultants,OOO-Project,Slip: e940,8/23/2013
Expense,CoreyM,Plymouth,Hand Tools,PLYMO-Project01,Slip: e941,8/24/2013
Expense,ElvisP,Plympton,Power Tools,PLYMP-Project02,Slip: e942,8/24/2013
Expense,SamS,Princeton,Cleanup Supplies,UUU-Project,Slip: e943,8/24/2013
Expense,ShawnR,Provincetown,Pavers,,Slip: e944,8/24/2013
Expense,TomH,Quincy,Wood,AAA-Project,Slip: e945,8/25/2013
Expense,CoreyM,Randolph,First aid,EEE-Project,Slip: e946,8/25/2013
Expense,ElvisP,Raynham,Plants,III-Project,Slip: e947,8/25/2013
Expense,SamS,Reading,Landscape Supplies,OOO-Project,Slip: e948,8/25/2013
Expense,ShawnR,Rehoboth,Snacks,REHOB-Project01,Slip: e949,8/26/2013
Expense,TomH,Revere,Consultants,REVER-Project02,Slip: e950,8/26/2013
Expense,CoreyM,Richmond,Hand Tools,UUU-Project,Slip: e951,8/26/2013
Expense,ElvisP,Rochester,Power Tools,,Slip: e952,8/26/2013
Expense,SamS,Rockland,Cleanup Supplies,AAA-Project,Slip: e953,8/27/2013
Expense,ShawnR,Rockport,Pavers,EEE-Project,Slip: e954,8/27/2013
Expense,TomH,Rowe,Wood,III-Project,Slip: e955,8/27/2013
Expense,CoreyM,Rowley,First aid,OOO-Project,Slip: e956,8/27/2013
Expense,ElvisP,Royalston,Plants,ROYAL-Project01,Slip: e957,8/28/2013
Expense,SamS,Russell,Landscape Supplies,RUSSE-Project02,Slip: e958,8/28/2013
Expense,ShawnR,Rutland,Snacks,UUU-Project,Slip: e959,8/28/2013
Expense,TomH,Salem,Consultants,,Slip: e960,8/28/2013
Expense,CoreyM,Salisbury,Hand Tools,AAA-Project,Slip: e961,8/29/2013
Expense,ElvisP,Sandisfield,Power Tools,EEE-Project,Slip: e962,8/29/2013
Expense,SamS,Sandwich,Cleanup Supplies,III-Project,Slip: e963,8/29/2013
Expense,ShawnR,Saugus,Pavers,OOO-Project,Slip: e964,8/29/2013
Expense,TomH,Savoy,Wood,SAVOY-Project01,Slip: e965,8/30/2013
Expense,CoreyM,Scituate,First aid,SCITU-Project02,Slip: e966,8/30/2013
Expense,ElvisP,Seekonk,Plants,UUU-Project,Slip: e967,8/30/2013
Expense,SamS,Sharon,Landscape Supplies,,Slip: e968,8/30/2013
Expense,ShawnR,Sheffield,Snacks,AAA-Project,Slip: e969,8/31/2013
Expense,TomH,Shelburne,Consultants,EEE-Project,Slip: e970,8/31/2013
Expense,CoreyM,Sherborn,Hand Tools,III-Project,Slip: e971,8/31/2013
Expense,ElvisP,Shirley,Power Tools,OOO-Project,Slip: e972,8/31/2013
Expense,SamS,Shrewsbury,Cleanup Supplies,SHREW-Project01,Slip: e973,9/1/2013
Expense,ShawnR,Shutesbury,Pavers,SHUTE-Project02,Slip: e974,9/1/2013
Expense,TomH,Somerset,Wood,UUU-Project,Slip: e975,9/1/2013
Expense,CoreyM,Somerville,First aid,,Slip: e976,9/1/2013
Expense,ElvisP,South Hadley,Plants,AAA-Project,Slip: e977,9/2/2013
Expense,SamS,Southampton,Landscape Supplies,EEE-Project,Slip: e978,9/2/2013
Expense,ShawnR,Southborough,Snacks,III-Project,Slip: e979,9/2/2013
Expense,TomH,Southbridge,Consultants,OOO-Project,Slip: e980,9/2/2013
Expense,CoreyM,Southwick,Hand Tools,SOUTH-Project01,Slip: e981,9/3/2013
Expense,ElvisP,Spencer,Power Tools,SPENC-Project02,Slip: e982,9/3/2013
Expense,SamS,Springfield,Cleanup Supplies,UUU-Project,Slip: e983,9/3/2013
Expense,ShawnR,Sterling,Pavers,,Slip: e984,9/3/2013
Expense,TomH,Stockbridge,Wood,AAA-Project,Slip: e985,9/4/2013
Expense,CoreyM,Stoneham,First aid,EEE-Project,Slip: e986,9/4/2013
Expense,ElvisP,Stoughton,Plants,III-Project,Slip: e987,9/4/2013
Expense,SamS,Stow,Landscape Supplies,OOO-Project,Slip: e988,9/4/2013
Expense,ShawnR,Sturbridge,Snacks,STURB-Project01,Slip: e989,9/5/2013
Expense,TomH,Sudbury,Consultants,SUDBU-Project02,Slip: e990,9/5/2013
Expense,CoreyM,Sunderland,Hand Tools,UUU-Project,Slip: e991,9/5/2013
Expense,ElvisP,Sutton,Power Tools,,Slip: e992,9/5/2013
Expense,SamS,Swampscott,Cleanup Supplies,AAA-Project,Slip: e993,9/6/2013
Expense,ShawnR,Swansea,Pavers,EEE-Project,Slip: e994,9/6/2013
Expense,TomH,Taunton,Wood,III-Project,Slip: e995,9/6/2013
Expense,CoreyM,Templeton,First aid,OOO-Project,Slip: e996,9/6/2013
Expense,ElvisP,Tewksbury,Plants,TEWKS-Project01,Slip: e997,9/7/2013
Expense,SamS,Tisbury,Landscape Supplies,TISBU-Project02,Slip: e998,9/7/2013
Expense,ShawnR,Tolland,Snacks,UUU-Project,Slip: e999,9/7/2013
Expense,TomH,Topsfield,Consultants,,Slip: e1000,9/7/2013
Expense,CoreyM,Townsend,Hand Tools,AAA-Project,Slip: e1001,9/8/2013
Expense,ElvisP,Truro,Power Tools,EEE-Project,Slip: e1002,9/8/2013
Expense,SamS,Tyngsborough,Cleanup Supplies,III-Project,Slip: e1003,9/8/2013
Expense,ShawnR,Tyringham,Pavers,OOO-Project,Slip: e1004,9/8/2013
Expense,TomH,Upton,Wood,UPTON-Project01,Slip: e1005,9/9/2013
Expense,CoreyM,Uxbridge,First aid,UXBRI-Project01,Slip: e1006,9/9/2013
Expense,ElvisP,Wakefield,Plants,WAKEF-Project02,Slip: e1007,9/9/2013
Expense,SamS,Wales,Landscape Supplies,,Slip: e1008,9/9/2013
Expense,ShawnR,Walpole,Snacks,AAA-Project,Slip: e1009,9/10/2013
Expense,TomH,Waltham,Consultants,EEE-Project,Slip: e1010,9/10/2013
Expense,CoreyM,Ware,Hand Tools,III-Project,Slip: e1011,9/10/2013
Expense,ElvisP,Wareham,Power Tools,OOO-Project,Slip: e1012,9/10/2013
Expense,SamS,Warren,Cleanup Supplies,UUU-Project,Slip: e1013,9/11/2013
Expense,ShawnR,Warwick,Pavers,WARWI-Project01,Slip: e1014,9/11/2013
Expense,TomH,Washington,Wood,WASHI-Project02,Slip: e1015,9/11/2013
Expense,CoreyM,Watertown,First aid,,Slip: e1016,9/11/2013
Expense,ElvisP,Wayland,Plants,AAA-Project,Slip: e1017,9/12/2013
Expense,SamS,Webster,Landscape Supplies,EEE-Project,Slip: e1018,9/12/2013
Expense,ShawnR,Wellesley,Snacks,III-Project,Slip: e1019,9/12/2013
Expense,TomH,Wellfleet,Consultants,OOO-Project,Slip: e1020,9/12/2013
Expense,CoreyM,Wendell,Hand Tools,UUU-Project,Slip: e1021,9/13/2013
Expense,ElvisP,Wenham,Power Tools,WENHA-Project01,Slip: e1022,9/13/2013
Expense,SamS,West Boylston,Cleanup Supplies,WESTB-Project02,Slip: e1023,9/13/2013
Expense,ShawnR,West Bridgewater,Pavers,,Slip: e1024,9/13/2013
Expense,TomH,West Brookfield,Wood,AAA-Project,Slip: e1025,9/14/2013
Expense,CoreyM,West Newbury,First aid,EEE-Project,Slip: e1026,9/14/2013
Expense,ElvisP,West Springfield,Plants,III-Project,Slip: e1027,9/14/2013
Expense,SamS,West Stockbridge,Landscape Supplies,OOO-Project,Slip: e1028,9/14/2013
Expense,ShawnR,West Tisbury,Snacks,UUU-Project,Slip: e1029,9/15/2013
Expense,TomH,Westborough,Consultants,WESTB-Project01,Slip: e1030,9/15/2013
Expense,CoreyM,Westfield,Hand Tools,WESTF-Project02,Slip: e1031,9/15/2013
Expense,ElvisP,Westford,Power Tools,,Slip: e1032,9/15/2013
Expense,SamS,Westhampton,Cleanup Supplies,AAA-Project,Slip: e1033,9/16/2013
Expense,ShawnR,Westminster,Pavers,EEE-Project,Slip: e1034,9/16/2013
Expense,TomH,Weston,Wood,III-Project,Slip: e1035,9/16/2013
Expense,CoreyM,Westport,First aid,OOO-Project,Slip: e1036,9/16/2013
Expense,ElvisP,Westwood,Plants,UUU-Project,Slip: e1037,9/17/2013
Expense,SamS,Weymouth,Landscape Supplies,WEYMO-Project01,Slip: e1038,9/17/2013
Expense,ShawnR,Whately,Snacks,WHATE-Project02,Slip: e1039,9/17/2013
